title_clean,lat,long,country
Furious 7,18.472,-69.892,Dominican_Republic
Jurassic Park ,19.452,-70.697,Dominican_Republic
XXX: Return of Xander Cage,18.5,-70,Dominican_Republic
47 Meters Down,18.488,-69.857,Dominican_Republic
Fast & Furious (2009 film),18.454,-69.309,Dominican_Republic
Los Bandoleros ,18.427,-68.973,Dominican_Republic
Sugar (2008 film),18.417,-70.1,Dominican_Republic
In the Time of the Butterflies ,19.793,-70.688,Dominican_Republic
Cat Chaser,19.301,-70.253,Dominican_Republic
Trópico de Sangre,18.615,-68.708,Dominican_Republic
Balibo ,-8.559,125.574,East_Timor
Answered by Fire,-8.992,125.22,East_Timor
Brothers (1982 film),-9.313,125.256,East_Timor
Master and Commander: The Far Side of the World,-2.196,-79.886,Ecuador
Snatched (2017 film),-0.23,-78.525,Ecuador
The Three Caballeros,-2.901,-79.005,Ecuador
Special Correspondents,-0.253,-79.175,Ecuador
The Galapagos Affair,-3.259,-79.961,Ecuador
Crónicas,-0.962,-80.713,Ecuador
Iguana ,-1.055,-80.454,Ecuador
Galapagos 3D,-2.176,-79.855,Ecuador
The Empress of Floreana,0.959,-79.654,Ecuador
The Little Polar Bear 2 – The Mysterious Island,-1.249,-78.617,Ecuador
X-Men: Apocalypse,30.063,31.25,Egypt
The Mummy (2017 film),31.202,29.916,Egypt
Gods of Egypt ,30.008,31.211,Egypt
The Mummy (1999 film),31.257,32.284,Egypt
Raiders of the Lost Ark,29.974,32.526,Egypt
The Fifth Element,30.971,31.167,Egypt
Exodus: Gods and Kings,25.699,32.642,Egypt
The Mummy Returns,27.181,31.184,Egypt
The Ten Commandments (1956 film),31.036,31.381,Egypt
Transformers: Revenge of the Fallen,30.788,31.002,Egypt
Salvador ,13.689,-89.187,El_Salvador
Voces inocentes,13.71,-89.14,El_Salvador
Romero ,13.994,-89.56,El_Salvador
Anything for Her,13.483,-88.183,El_Salvador
Choices of the Heart,13.74,-89.213,El_Salvador
In the Name of the People (1985 film),13.677,-89.28,El_Salvador
The Ambassador (2005 film),13.807,-89.179,El_Salvador
Witness to War: Dr. Charlie Clements,13.724,-89.17,El_Salvador
Return to El Salvador,13.719,-89.724,El_Salvador
El Salvador: Another Vietnam,13.659,-89.183,El_Salvador
Palm Trees in the Snow,1.864,9.766,Equatorial_Guinea
Marfil ,3.756,8.782,Equatorial_Guinea
Heart of Fire ,15.338,38.932,Eritrea
White Hotel ,15.778,38.451,Eritrea
La pattuglia dell'Amba Alagi,15.608,39.475,Eritrea
The Best of Enemies (1961 film),13.009,42.739,Eritrea
Baltic Storm,59.437,24.754,Estonia
Candles in the Dark,58.381,26.725,Estonia
Viimne reliikvia,59.377,28.19,Estonia
A Spell to Ward Off the Darkness,59.399,27.273,Estonia
Names in Marble ,58.386,24.497,Estonia
Spring (1969 film),58.364,25.59,Estonia
Screwed in Tallinn,59.346,26.356,Estonia
The Poll Diaries,59.397,27.763,Estonia
Revolution of Pigs,59.465,25,Estonia
The Wild Geese,-26.499,31.38,Eswatini
Wah-Wah ,-26.317,31.133,Eswatini
Without the King,-26.817,31.933,Eswatini
The King and the People,-26.567,31.183,Eswatini
Beyond Borders ,9.025,38.747,Ethiopia
Into the Inferno ,9.593,41.866,Ethiopia
Shaft in Africa,13.497,39.475,Ethiopia
Black Gold (2006 film),8.55,39.267,Ethiopia
Time to Kill (1989 film),11.594,37.391,Ethiopia
Adwa ,12.6,37.467,Ethiopia
Teza ,11.133,39.633,Ethiopia
The Athlete (2009 film),7.062,38.476,Ethiopia
The Mask of Sheba,7.673,36.834,Ethiopia
Fascist Legacy,8.752,38.978,Ethiopia
Pirates of Treasure Island,-51.7,-58.826,Falkland_Islands
Tumbledown,-51.608,-59.949,Falkland_Islands
Resurrected ,-51.582,-60.066,Falkland_Islands
An Ungentlemanly Act,-51.618,-59.602,Falkland_Islands
Blessed by Fire,-51.633,-58.535,Falkland_Islands
Cysgod Rhyfel,-51.734,-58.534,Falkland_Islands
Barbara (1997 film),62.01,-6.772,Faroe_Islands
The Dance (1998 film),62.227,-6.589,Faroe_Islands
Shadow Over the Islands,62.034,-6.781,Faroe_Islands
Deep Sea Monster Reigo,7.446,151.841,Federated_States_of_Micronesia
Soarin',-18.142,178.441,Fiji
Santa Banta Pvt Ltd,-17.617,177.45,Fiji
Boot Camp ,-17.803,177.416,Fiji
Doraemon: Nobita and the Island of Miracles—Animal Adventure,-16.433,179.365,Fiji
Attack of the Sabretooth,-17.534,177.674,Fiji
Elf Bowling the Movie: The Great North Pole Elf Strike,-18.067,179.317,Fiji
Bula Quo!,-17.614,178.018,Fiji
The Land Has Eyes,-17.668,177.574,Fiji
Girl of the Port,-16.627,179.397,Fiji
Avengers of the Reef,-16.578193,179.414413,Fiji
Hanna ,60.17,24.935,Finland
Big Game (2014 film),60.205,24.652,Finland
Shamitabh,61.499,23.787,Finland
The Jackal (1997 film),60.294,25.041,Finland
White Nights (1985 film),60.451,22.269,Finland
The Unknown Soldier (2017 film),65.012,25.468,Finland
Night on Earth,60.983,25.662,Finland
Rare Exports: A Christmas Tale,62.892,27.677,Finland
Billion Dollar Brain,62.241,25.721,Finland
The Other Side of Hope,61.483,21.783,Finland
Dunkirk (2017 film),51.034617,2.372681,France
Beauty and the Beast (2017 film),48.853,2.349,France
Inglourious Basterds,43.297,5.381,France
Fifty Shades Freed ,45.748,4.847,France
Beauty and the Beast (1991 film),43.604,1.444,France
Catch Me If You Can,43.703,7.266,France
Allied ,47.217,-1.553,France
The Lost City of Z ,48.584,7.746,France
Les Misérables (2012 film),43.611,3.877,France
Edge of Tomorrow,44.84,-0.581,France
Papillon (2017 film),4.933,-52.333,French_Guiana
Papillon (1973 film),4.849,-52.324,French_Guiana
We're No Angels (1955 film),5.502,-54.029,French_Guiana
The Life of Emile Zola,5.163,-52.643,French_Guiana
Passage to Marseille,4.917,-52.267,French_Guiana
Strange Cargo (1940 film),4.912,-52.374,French_Guiana
Prisoner of Honor,5.669,-53.779,French_Guiana
